Country,Year,Population,GDP (US$),gdp_cap,Renewable Capacity,Oil Capacity,RC/cap (Watt),Continent
United Kingdom,2002,59370479,1.78408E+12,30049.89632,538,1785,9.061742621,Europe
United States,2002,287625193,1.09364E+13,38023.16111,6697,16757,23.28377403,NAM
Uruguay,2002,3326046,13606494599,4090.891888,0,0,0,SAM
Uzbekistan,2002,25271850,9687788513,383.343068,0,232,0,Asia
Venezuela,2002,25100407,92893587734,3700.87974,0,1274,0,SAM
Vietnam,2002,81534406,35064105501,430.0528724,0.236,8,0.002894484,Asia
Algeria,2003,32264159,67863828413,2103.381291,0,434,0,Africa
Argentina,2003,38087866,1.27587E+11,3349.8063,25.7,615,0.674755577,SAM
Australia,2003,19895400,4.67391E+11,23492.40517,231.066,756,11.61404144,Oceania
Austria,2003,8121423,2.61696E+11,32222.89724,345,201,42.48024022,Europe
Azerbaijan,2003,8234100,7276753895,883.7339715,0,325,0,Asia
Bahrain,2003,778708,11074813830,14222.0368,0,260,0,Asia
Bangladesh,2003,134791598,60158929188,446.3106757,0,36,0,Asia
Belarus,2003,9796749,17827791321,1819.766059,0,480,0,Europe
Belgium,2003,10376133,3.17382E+11,30587.66841,68,776,6.553501194,Europe
Brazil,2003,181809244,5.58234E+11,3070.436419,24,1915.389061,0.132006489,SAM
Bulgaria,2003,7775327,21144983552,2719.497656,0,120,0,Europe
Canada,2003,31644028,8.95541E+11,28300.4631,363,1958.615617,11.47135883,NAM
Chile,2003,15849649,75643459840,4772.563723,2,238,0.12618576,SAM
China,2003,1288400000,1.66029E+12,1288.643252,635.3,7322.456388,0.493092207,Asia
Colombia,2003,41483872,94641378693,2281.401762,0,318,0,SAM
Costa Rica,2003,4164053,17271760507,4147.824369,231.3,0,55.54684342,NAM
Croatia,2003,4303399,34985749883,8129.794584,0,0,0,Europe
Curacao,2003,131897,0,0,0,320,0,SAM
Czech Republic,2003,10193998,1.0009E+11,9818.568493,0.3,193,0.029429082,Europe
Denmark,2003,5390574,2.18096E+11,40458.7774,3121.9,189,579.1405516,Europe
Ecuador,2003,13369678,32432858000,2425.851842,0,177,0,SAM
Egypt,2003,72826102,80288461538,1102.468199,69.6,810,0.955701295,Africa
El Salvador,2003,5994075,13243892200,2209.497245,161.2,0,26.89322373,NAM
Ethiopia,2003,72170581,8623691300,119.490396,7.3,0,0.101149248,Africa
Finland,2003,5213014,1.71274E+11,32855.13263,52,261,9.975035555,Europe
France,2003,62244880,1.84048E+12,29568.3888,227,1967,3.646886298,Europe
Germany,2003,82534176,2.49613E+12,30243.57653,14816,2304,179.5135145,Europe
Greece,2003,10928070,2.01924E+11,18477.57836,372,412,34.04077756,Europe
Guatemala,2003,12415334,21576351799,1737.879287,29,0,2.335821171,NAM
Honduras,2003,7106323,8140278401,1145.497946,2.1,0,0.295511476,NAM
Hungary,2003,10129552,85302003908,8421.103313,0,165,0,Europe
Iceland,2003,289521,11429333038,39476.69785,202,0,697.7041389,Europe
India,2003,1111523146,6.07699E+11,546.7266135,2132.885,2292.871294,1.918884917,Asia
Indonesia,2003,220309473,2.34772E+11,1065.64852,805,1004.15,3.653950913,Asia
Iran,2003,68122947,1.53545E+11,2253.935835,16,1692,0.234869463,Asia
Iraq,2003,25644503,21921569479,854.8252808,0,718,0,Asia
Ireland,2003,3996521,1.64308E+11,41112.74822,210.3,75,52.62076691,Europe
Israel,2003,6689700,1.27047E+11,18991.37985,0,270,0,Asia
Italy,2003,57313203,1.57415E+12,27465.6753,1607,2485,28.03891452,Europe
Japan,2003,127718000,4.51956E+12,35387.03742,1903,4645.1295,14.90001409,Asia
Jordan,2003,5434036,10195660790,1876.259338,1.4,0,0.257635393,Asia
Kazakhstan,2003,14909019,30833699703,2068.123979,0,330,0,Asia
Kenya,2003,34678781,14904517650,429.787819,58,0,1.672492467,Africa
South Korea,2003,23542434,0,0,25,0,1.06191229,Asia
Kuwait,2003,2161626,47876510067,22148.37815,0,914,0,Asia
Lithuania,2003,3415213,18781721376,5499.428989,0,240,0,Europe
Malaysia,2003,24698821,1.10202E+11,4461.847325,0,527,0,Asia
Mexico,2003,103081020,7.29336E+11,7075.369643,994,1463,9.642900313,NAM
Morocco,2003,29782884,52064058834,1748.120123,62.4,154,2.095163114,Africa
Netherlands,2003,16225302,5.78792E+11,35672.2066,951,1281.5,58.61216019,Europe
New Zealand,2003,4027200,88250885550,21913.70817,450,104,111.7401669,Oceania
Nicaragua,2003,5292115,5322454926,1005.733044,77.5,0,14.64442855,NAM
Nigeria,2003,131900634,1.04912E+11,795.3862287,0,400,0,Africa
Norway,2003,4564855,2.28859E+11,50134.89077,97,316,21.24930584,Europe
Oman,2003,2386164,21633708192,9066.312371,0,85,0,Asia
Pakistan,2003,153093371,91760542940,599.3763305,0,227.5312329,0,Asia
Papua New Guinea,2003,6223378,3536411824,568.2463486,6,0,0.964106631,Oceania
Peru,2003,27372217,58731030122,2145.643889,0,198,0,SAM
Philippines,2003,83051970,87039145965,1048.008205,1846.5,335,22.23306684,Asia
Poland,2003,38204570,2.17827E+11,5701.602212,35,482,0.916120768,Europe
Portugal,2003,10458821,1.64862E+11,15762.97579,284,306,27.1541123,Europe
Qatar,2003,681791,23533791209,34517.60321,0,137,0,Asia
